Back to [[..:handset_report|Test Suite]] report's page.

^  SonyEricsson W595  ^^^^
^TestSuite|//Version//||<nowiki>1.0.0</nowiki>|
^ ::: | ::: |3D - max Lights|8|
^ ::: | ::: |3D - max Sprite Crop Dimension|256|
^ ::: | ::: |3D - max Texture Dimension|256|
^ ::: | ::: |3D - max Transforms Per Vertex|4|
^ ::: | ::: |3D - max Viewport Dimension|2048|
^ ::: | ::: |3D - max Viewport Height|2048|
^ ::: | ::: |3D - max Viewport Width|2048|
^ ::: | ::: |3D - num Texture Units|2|
^ ::: | ::: |3D - support Antialiasing|false|
^ ::: | ::: |3D - support Dithering|false|
^ ::: | ::: |3D - support Local Camera Lighting|false|
^ ::: | ::: |3D - support Mipmapping|true|
^ ::: | ::: |3D - support Perspective Correction|true|
^ ::: | ::: |3D - support TrueColor|false|
^ ::: |//SVG//|M2G version|<nowiki>1.1</nowiki>|
^ ::: | ::: |SVG version|<nowiki>1.1</nowiki>|
^ ::: | ::: |SVG profile|<nowiki>tiny</nowiki>|
^Comms|//Wireless Messaging//|JSR-120 (Messaging 1.1) supported|true|
^ ::: | ::: |JSR-205 (Messaging 2.0) supported|true|
^ ::: | ::: |MMSC Address|<nowiki>127.0.0.1</nowiki>|
^ ::: | ::: |SMSC Address|491722270333|
^ ::: |//Bluetooth//|JSR-082 Bluetooth supported|true|
^ ::: | ::: |JSR-082 OBEX supported|true|
^ ::: | ::: |Bluetooth version|<nowiki>1.1</nowiki>|
^ ::: | ::: |The maximum ReceiveMTU size|672|
^ ::: | ::: |The maximum number of connected devices|7|
^ ::: | ::: |Is inquiry allowed during a connection|true|
^ ::: | ::: |Is paging allowed during a connection|true|
^ ::: | ::: |Is inquiry scanning allowed during a connection|true|
^ ::: | ::: |Is page scanning allowed during a connection|true|
^ ::: | ::: |Is master/slave switch allowed|true|
^ ::: | ::: |Max number of concurrent service discovery transactions|1|
^ ::: | ::: |Max number of service attributes to be retrieved per service record|256|
^ ::: |//SIP//|JSR-180 supported|true|
^ ::: | ::: |SIP version|<nowiki>1.0.1</nowiki>|
^Personal Information|//PIM & File//|JSR-075 Filesystem supported|true|
^ ::: | ::: |JSR-075 PIM supported|true|
^ ::: | ::: |PIM version|<nowiki>1.0</nowiki>|
^ ::: | ::: |FileConnection version|<nowiki>1.0</nowiki>|
^ ::: | ::: |File Separator|<nowiki>/</nowiki>|
^ ::: | ::: |Directory of photos name|<nowiki>Album</nowiki>|
^ ::: | ::: |Directory of photos path|<nowiki>file:///c:/camera/</nowiki>|
^ ::: | ::: |Directory of videos name|<nowiki>Videos</nowiki>|
^ ::: | ::: |Directory of videos path|<nowiki>file:///c:/videos/</nowiki>|
^ ::: | ::: |Directory of graphics name|<nowiki>Bilder</nowiki>|
^ ::: | ::: |Directory of graphics path|<nowiki>file:///c:/pictures/</nowiki>|
^ ::: | ::: |Directory of tones name|<nowiki>Klingeltï¿½ne</nowiki>|
^ ::: | ::: |Directory of tones path|<nowiki>file:///c:/music/</nowiki>|
^ ::: | ::: |Directory of music name|<nowiki>Musik</nowiki>|
^ ::: | ::: |Directory of music path|<nowiki>file:///c:/music/</nowiki>|
^ ::: | ::: |Directory of recordings name|<nowiki>Aufnahmen</nowiki>|
^ ::: | ::: |Directory of recordings path|<nowiki>file:///c:/music/</nowiki>|
^ ::: | ::: |Directory of private name|<nowiki>Privat</nowiki>|
^ ::: | ::: |Directory of private path|<nowiki>file:///c:/system/9AF5345D20F947d8997111B01574A37F/jf88ee1a417da401c0427a30f76e9f2f72751d078/</nowiki>|
^ ::: | ::: |Directory of memorycard name|<nowiki>Speicherkarte</nowiki>|
^ ::: | ::: |Directory of memorycard path|<nowiki>file:///e:/</nowiki>|
^ ::: | ::: |Directory of roots names|<nowiki>Telefonspeicher;Speicherkarte</nowiki>|
^ ::: |//Location//|JSR-179 supported|true|
^ ::: | ::: |Location version|<nowiki>1.0</nowiki>|
^Application connectivity|//Web Services//|JSR-172 supported|true|
^ ::: |//Content Handler//|Content Handler version|<nowiki>1.0</nowiki>|
^Security & Commerce|//Security & Trust Services//|JSR-177 supported|true|
^ ::: | ::: |Smartcard slots|<nowiki>0C</nowiki>|
^API|//Other//|Motorola - RC|false|
^ ::: | ::: |Nokia - Graphics|true|
^ ::: | ::: |Nokia - Sound|true|
^ ::: | ::: |Nokia - UI|true|
^ ::: | ::: |Samsung - Acceleration|false|
^ ::: | ::: |Samsung - Vibration|false|
^ ::: | ::: |Siemens - graphics|false|
^ ::: | ::: |Siemens - UI|false|
^ ::: | ::: |JTWI version|<nowiki>1.0</nowiki>|
^Platform|//Control//|Has key-held events|true|
^ ::: | ::: |Has motion events|false|
^ ::: | ::: |Has pointer events|false|
^ ::: |//Keyboard//|Key DOWN|<nowiki>Ab</nowiki>|
^ ::: | ::: |Key FIRE|<nowiki>Feuer</nowiki>|
^ ::: | ::: |Key GAME A|7|
^ ::: | ::: |Key GAME B|9|
^ ::: | ::: |Key GAME C|<nowiki>*</nowiki>|
^ ::: | ::: |Key GAME D|<nowiki>#</nowiki>|
^ ::: | ::: |Key LEFT|<nowiki>Links</nowiki>|
^ ::: | ::: |Key RIGHT|<nowiki>Rechts</nowiki>|
^ ::: | ::: |Key UP|<nowiki>Auf</nowiki>|
^ ::: |//Carrier//|MSISDN|true|
^ ::: |//Hardware//|Jackknife open (SonyEricsson)|true|
^ ::: | ::: |Status (SonyEricsson )|true|
^ ::: | ::: |Flip Open (SonyEricsson)|true|
^ ::: |//Network//|Cell ID|true|
^ ::: | ::: |CMCC|true|
^ ::: | ::: |CMNC|true|
^ ::: | ::: |Is On Home PLMN|true|
^ ::: | ::: |LAC|true|
^ ::: | ::: |MCC|true|
^ ::: | ::: |MNC|true|
^ ::: | ::: |RAT|true|
^ ::: |//Settings//|Available Time Zone|<nowiki>GMT 01:00 GMT UTC</nowiki>|
^ ::: | ::: |Default Time Zone|<nowiki>GMT 01:00</nowiki>|
^Benchmark|//Math//|Math Add array|8939|
^ ::: | ::: |Math Add local|6271|
^ ::: | ::: |Math Add instance|4708|
^ ::: | ::: |Math Add static|4412|
^ ::: | ::: |Math Div array|3166|
^ ::: | ::: |Math Div local|7156|
^ ::: | ::: |Math Div instance|2901|
^ ::: | ::: |Math Div static|2713|
^ ::: | ::: |Math Mul array|11456|
^ ::: | ::: |Math Mul local|5244|
^ ::: | ::: |Math Mul instance|7015|
^ ::: | ::: |Math Mul static|1917|
^ ::: |//Timer//|Sleep precision|304|

