Torna alla pagina con tutti i report della [[..:handset_report|Test Suite]].

^  SonyEricsson W850i  ^^^^
^TestSuite|//Version//||<nowiki>1.0.5</nowiki>|
^ ::: | ::: |Is page scanning allowed during a connection|false|
^ ::: | ::: |Is master/slave switch allowed|true|
^ ::: | ::: |Max number of concurrent service discovery transactions|1|
^ ::: | ::: |Max number of service attributes to be retrieved per service record|256|
^ ::: |//SIP//|JSR-180 supported|false|
^Personal Information|//PIM & File//|JSR-075 Filesystem supported|true|
^ ::: | ::: |JSR-075 PIM supported|true|
^ ::: | ::: |PIM version|<nowiki>1.0</nowiki>|
^ ::: | ::: |FileConnection version|<nowiki>1.0</nowiki>|
^ ::: | ::: |File Separator|<nowiki>/</nowiki>|
^ ::: | ::: |Directory of photos name|<nowiki>Camera album</nowiki>|
^ ::: | ::: |Directory of photos path|<nowiki>file:///c:/camera/</nowiki>|
^ ::: | ::: |Directory of videos name|<nowiki>Videos</nowiki>|
^ ::: | ::: |Directory of videos path|<nowiki>file:///c:/videos/</nowiki>|
^ ::: | ::: |Directory of graphics name|<nowiki>Pictures</nowiki>|
^ ::: | ::: |Directory of graphics path|<nowiki>file:///c:/pictures/</nowiki>|
^ ::: | ::: |Directory of tones name|<nowiki>Tones</nowiki>|
^ ::: | ::: |Directory of tones path|<nowiki>file:///c:/music/</nowiki>|
^ ::: | ::: |Directory of music name|<nowiki>Music</nowiki>|
^ ::: | ::: |Directory of music path|<nowiki>file:///c:/music/</nowiki>|
^ ::: | ::: |Directory of recordings name|<nowiki>Recordings</nowiki>|
^ ::: | ::: |Directory of recordings path|<nowiki>file:///c:/music/</nowiki>|
^ ::: | ::: |Directory of memorycard name|<nowiki>Memory Stick</nowiki>|
^ ::: | ::: |Directory of memorycard path|<nowiki>file:///e:/</nowiki>|
^ ::: |//Location//|JSR-179 supported|false|
^Application connectivity|//Web Services//|JSR-172 supported|true|
^Security & Commerce|//Security & Trust Services//|JSR-177 supported|false|
^API|//Other//|Motorola - RC|false|
^ ::: | ::: |Nokia - Graphics|true|
^ ::: | ::: |Nokia - Sound|true|
^ ::: | ::: |Nokia - UI|true|
^ ::: | ::: |Samsung - Acceleration|false|
^ ::: | ::: |Samsung - Vibration|false|
^ ::: | ::: |Siemens - graphics|false|
^ ::: | ::: |Siemens - UI|false|
^ ::: | ::: |JTWI version|<nowiki>1.0</nowiki>|
^Platform|//Control//|Has key-held events|true|
^ ::: | ::: |Has motion events|false|
^ ::: | ::: |Has pointer events|false|
^ ::: |//Keyboard//|Key DOWN|<nowiki>Giï¿½</nowiki>|
^ ::: | ::: |Key FIRE|<nowiki>Fuoco</nowiki>|
^ ::: | ::: |Key GAME A|7|
^ ::: | ::: |Key GAME B|9|
^ ::: | ::: |Key GAME C|<nowiki>*</nowiki>|
^ ::: | ::: |Key GAME D|<nowiki>#</nowiki>|
^ ::: | ::: |Key LEFT|<nowiki>Sinistra</nowiki>|
^ ::: | ::: |Key RIGHT|<nowiki>Destra</nowiki>|
^ ::: | ::: |Key UP|<nowiki>Su</nowiki>|
^ ::: |//Hardware//|Jackknife open (SonyEricsson)|true|
^ ::: | ::: |Flip Open (SonyEricsson)|true|
^ ::: |//Settings//|Available Time Zone|<nowiki>GMT 01:00 GMT UTC</nowiki>|
^ ::: | ::: |Default Time Zone|<nowiki>GMT 01:00</nowiki>|
^Benchmark|//Math//|Math Add array|2011|
^ ::: | ::: |Math Add local|1263|
^ ::: | ::: |Math Add instance|1386|
^ ::: | ::: |Math Add static|1477|
^ ::: | ::: |Math Div array|6432|
^ ::: | ::: |Math Div local|4523|
^ ::: | ::: |Math Div instance|8019|
^ ::: | ::: |Math Div static|24199|
^ ::: | ::: |Math Mul array|3229|
^ ::: | ::: |Math Mul local|1425|
^ ::: | ::: |Math Mul instance|1554|
^ ::: | ::: |Math Mul static|1752|
^ ::: |//Timer//|Sleep precision|280|
